1,KBS1,일일드라마(수지맞은우리),14.8,2024.09.09
2,KBS1,인간극장,8.5,2024.09.09
3,KBS2,일일드라마(스캔들),8.3,2024.09.09
4,KBS1,KBS9시뉴스,8.1,2024.09.09
5,KBS1,아침마당,6.9,2024.09.09
6,MBC,일일드라마(용감무쌍용수정),6.0,2024.09.09
7,MBC,MBC뉴스데스크,5.7,2024.09.09
8,MBC,푹쉬면다행이야,5.4,2024.09.09
9,KBS1,6시내고향,5.2,2024.09.09
10,KBS1,가요무대,5.1,2024.09.09
11,KBS1,KBS뉴스광장2부,5.0,2024.09.09
12,KBS1,우리말겨루기,4.8,2024.09.09
13,SBS,동상이몽2너는내운명,4.6,2024.09.09
14,SBS,SBS8뉴스,4.2,2024.09.09
15,KBS2,2TV생생정보,3.6,2024.09.09
16,KBS1,KBS뉴스930,3.5,2024.09.09
17,SBS,생활의달인,3.3,2024.09.09
17,KBS1,KBS뉴스7,3.3,2024.09.09
19,MBC,오은영리포트결혼지옥,3.1,2024.09.09
20,SBS,모닝와이드3부,2.6,2024.09.09
